Id,Title,Year,Rating,Views,Likes,Minutes,Tagline,Language,Countries,Directors,Cast
46964,Scooby-Doo,2002,3.3,809916,158881,88,Get a Clue,English,['USA'],['Raja Gosnell'],"['Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Matthew Lillard', 'Linda Cardellini', 'Rowan Atkinson']"
51554,The Mummy,1999,3.5,736787,150410,124,The legend you know. The adventure you have yet to imagine.,English,['USA'],['Stephen Sommers'],"['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo', 'Patricia Velásquez']"
51794,The King of Comedy,1982,4.2,343493,123659,109,It’s No Laughing Matter.,English,['USA'],['Martin Scorsese'],"['Robert De Niro', 'Jerry Lewis', 'Sandra Bernhard', 'Diahnne Déa', 'Shelley Hack']"
4549,Melancholia,2011,3.8,361046,100015,136,Enjoy it while it lasts,English,"['Denmark', 'France', 'Germany', 'Sweden']",['Lars von Trier'],"['Kirsten Dunst', 'Charlotte Gainsbourg', 'Kiefer Sutherland', 'Alexander Skarsgård', 'Cameron Spurr']"
37088,The Twilight Saga: Eclipse,2010,2.6,834160,98636,124,It all begins… with a choice.,English,['USA'],['David Slade'],"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Bryce Dallas Howard', 'Dakota Fanning']"
51490,Bridget Jones’s Diary,2001,3.4,612710,121075,97,Health Warning: Adopting Bridget’s lifestyle could seriously damage your health.,English,"['France', 'Ireland', 'UK', 'USA']",['Sharon Maguire'],"['Renée Zellweger', 'Colin Firth', 'Hugh Grant', 'Jim Broadbent', 'Gemma Jones']"
508037,RRR,2022,4.2,294500,119455,185,Rise Roar Revolt,Telugu,['India'],['S. S. Rajamouli'],"['N.T. Rama Rao Jr.', 'Ram Charan', 'Olivia Morris', 'Ray Stevenson', 'Alison Doody']"
307298,The Disaster Artist,2017,3.6,523197,120363,104,"I did naaaht! Oh, hi Mark",English,['USA'],['James Franco'],"['Dave Franco', 'James Franco', 'Seth Rogen', 'Ari Graynor', 'Alison Brie']"
50846,Misery,1990,4.0,474590,133563,107,"Paul Sheldon used to write for a living. Now, he’s writing to stay alive.",English,['USA'],['Rob Reiner'],"['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen', 'Lauren Bacall']"
168860,Lucy,2014,2.7,804637,98526,89,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,English,['France'],['Luc Besson'],"['Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik', 'Amr Waked', 'Julian Rhind-Tutt']"
107670,Justice League,2017,1.9,757150,51214,120,,English,['USA'],['Zack Snyder'],"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot', 'Ezra Miller']"
422035,Burning,2018,4.1,307881,101778,148,The truth is all in your head.,Korean,"['Japan', 'South Korea']",['Lee Chang-dong'],"['Yoo Ah-in', 'Steven Yeun', 'Jun Jong-seo', 'Kim Soo-kyung', 'Choi Seung-ho']"
112957,The Wind Rises,2013,4.1,406152,131789,126,We must live.,Japanese,['Japan'],['Hayao Miyazaki'],"['Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura', 'Stephen Alpert']"
485519,The Trial of the Chicago 7,2020,3.7,461465,115238,130,"In 1968, democracy refused to back down.",English,['USA'],['Aaron Sorkin'],"['Eddie Redmayne', 'Sacha Baron Cohen', 'Joseph Gordon-Levitt', 'Michael Keaton', 'Frank Langella']"
812015,Close,2022,4.1,269081,110071,104,,French,"['Belgium', 'France', 'Netherlands']",['Lukas Dhont'],"['Eden Dambrine', 'Gustav De Waele', 'Émilie Dequenne', 'Léa Drucker', 'Igor van Dessel']"
135120,22 Jump Street,2014,3.3,799278,139168,112,They’re not 21 anymore,English,['USA'],"['Phil Lord', 'Christopher Miller']","['Jonah Hill', 'Channing Tatum', 'Peter Stormare', 'Wyatt Russell', 'Amber Stevens West']"
16560,Cars 2,2011,2.7,879850,97289,106,Ka-ciao!,English,['USA'],['John Lasseter'],"['Larry the Cable Guy', 'Owen Wilson', 'Michael Caine', 'Emily Mortimer', 'John Turturro']"
42580,The Sound of Music,1965,4.1,643104,163266,174,The happiest sound in all the world!,English,['USA'],['Robert Wise'],"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn', 'Peggy Wood']"
10442,Bridesmaids,2011,3.4,726665,138294,125,Save the date,English,['USA'],['Paul Feig'],"['Kristen Wiig', 'Maya Rudolph', 'Rose Byrne', ""Chris O'Dowd"", 'Wendi McLendon-Covey']"
160497,Fury,2014,3.7,577770,136818,135,War never ends quietly.,English,"['USA', 'UK']",['David Ayer'],"['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman', 'Michael Peña', 'Jon Bernthal']"
48030,Tropic Thunder,2008,3.6,651715,146317,107,Get Some.,English,['USA'],['Ben Stiller'],"['Ben Stiller', 'Robert Downey Jr.', 'Jack Black', 'Jay Baruchel', 'Brandon T. Jackson']"
15620,The Help,2011,3.8,663031,150931,146,Change begins with a whisper.,English,"['India', 'United Arab Emirates', 'USA']",['Tate Taylor'],"['Emma Stone', 'Viola Davis', 'Octavia Spencer', 'Bryce Dallas Howard', 'Jessica Chastain']"
49054,Burn After Reading,2008,3.6,500427,116358,96,Intelligence is relative.,English,"['USA', 'UK', 'France']","['Ethan Coen', 'Joel Coen']","['George Clooney', 'Frances McDormand', 'Brad Pitt', 'John Malkovich', 'Tilda Swinton']"
47468,The Tree of Life,2011,3.9,313388,82329,139,Nothing stands still.,English,['USA'],['Terrence Malick'],"['Brad Pitt', 'Sean Penn', 'Jessica Chastain', 'Hunter McCracken', 'Laramie Eppler']"
18627,Incendies,2010,4.4,277537,104246,131,The search began at the opening of their mother’s will.,French,"['Canada', 'France']",['Denis Villeneuve'],"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Rémy Girard', 'Allen Altman']"
45842,After Hours,1985,4.1,274168,104883,97,"When it’s after midnight in New York City, you don’t have to look for love, laughter and trouble. They’ll all find you!",English,['USA'],['Martin Scorsese'],"['Griffin Dunne', 'Rosanna Arquette', 'Verna Bloom', 'Tommy Chong', 'Linda Fiorentino']"
52508,Pacific Rim,2013,3.4,675677,147270,131,"To Fight Monsters, We Created Monsters",English,['USA'],['Guillermo del Toro'],"['Charlie Hunnam', 'Rinko Kikuchi', 'Idris Elba', 'Max Martini', 'Clifton Collins Jr.']"
16164,Kung Fu Panda 2,2011,3.7,822406,148012,91,Prepare for the Year of Awesomeness!,English,['USA'],['Jennifer Yuh Nelson'],"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Gary Oldman', 'Jackie Chan']"
51226,Gremlins,1984,3.6,659531,151881,106,"Don’t get him wet, keep him out of bright light, and never feed him after midnight.",English,['USA'],['Joe Dante'],"['Zach Galligan', 'Phoebe Cates', 'Hoyt Axton', 'Frances Lee McCain', 'Corey Feldman']"
42983,The Boy in the Striped Pyjamas,2008,3.6,748263,120691,94,"Lines may divide us, but hope will unite us.",English,"['UK', 'USA']",['Mark Herman'],"['Asa Butterfield', ""Zac Mattoon O'Brien"", 'Domonkos Németh', 'Henry Kingsmill', 'Vera Farmiga']"
51871,Minority Report,2002,3.7,556676,120923,145,The system is perfect until it comes after you.,English,['USA'],['Steven Spielberg'],"['Tom Cruise', 'Samantha Morton', 'Max von Sydow', 'Colin Farrell', 'Kathryn Morris']"
485309,Hamilton,2020,4.2,504471,163611,160,An American Musical,English,['USA'],['Thomas Kail'],"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Renée Elise Goldsberry', 'Phillipa Soo', 'Daveed Diggs']"
48160,The 40 Year Old Virgin,2005,3.3,763854,121407,116,"The longer you wait, the harder it gets",English,['USA'],['Judd Apatow'],"['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco', 'Seth Rogen']"
